jid,challenge_id,round_id,team_id,score
1,1,1,1,82
2,1,1,1,78
3,1,1,1,80
1,1,1,2,75
2,1,1,2,70
3,1,1,2,73
1,1,1,3,88
2,1,1,3,85
3,1,1,3,87
1,1,1,4,60
2,1,1,4,62
3,1,1,4,61
2,1,2,1,84
3,1,2,1,80
4,1,2,1,83
2,1,2,2,77
3,1,2,2,74
4,1,2,2,76
2,1,2,3,91
3,1,2,3,89
4,1,2,3,90
2,1,2,4,65
3,1,2,4,63
4,1,2,4,64
1,1,3,1,86
3,1,3,1,83
4,1,3,1,85
1,1,3,2,79
3,1,3,2,76
4,1,3,2,78
1,1,3,3,93
3,1,3,3,91
4,1,3,3,92
1,2,1,5,70
2,2,1,5,68
4,2,1,5,72
1,2,1,6,80
2,2,1,6,78
4,2,1,6,79
1,2,1,7,74
2,2,1,7,72
4,2,1,7,73
1,2,2,5,73
2,2,2,5,70
4,2,2,5,74
1,2,2,6,83
2,2,2,6,81
4,2,2,6,82
1,2,2,7,77
2,2,2,7,75
4,2,2,7,76
1,3,1,8,85
2,3,1,8,83
3,3,1,8,83
1,3,1,9,90
2,3,1,9,88
3,3,1,9,89
1,3,1,10,78
2,3,1,10,76
3,3,1,10,75
2,3,2,8,87
3,3,2,8,85
4,3,2,8,82
2,3,2,9,92
3,3,2,9,90
4,3,2,9,91
2,3,2,10,80
3,3,2,10,78
4,3,2,10,79
1,3,3,8,88
3,3,3,8,89
4,3,3,8,87
1,3,3,9,94
3,3,3,9,90
4,3,3,9,93
1,3,3,10,82
3,3,3,10,80 
4,3,3,10,85
1,4,1,1,88
2,4,1,1,86
4,4,1,1,87
1,4,1,3,80
2,4,1,3,78
4,4,1,3,79
1,4,1,4,72
2,4,1,4,70
4,4,1,4,71
1,4,2,1,90
2,4,2,1,89
3,4,2,1,91
1,4,2,3,82
2,4,2,3,80
3,4,2,3,81
1,4,2,4,74
2,4,2,4,72
3,4,2,4,70
1,5,1,2,76
2,5,1,2,74
4,5,1,2,75
1,5,1,4,82
2,5,1,4,80
4,5,1,4,81
1,5,1,6,71
2,5,1,6,69
4,5,1,6,70
1,5,2,2,79
3,5,2,2,72
4,5,2,2,73
1,5,2,4,85
3,5,2,4,83
4,5,2,4,84
1,5,2,6,73
3,5,2,6,71
4,5,2,6,70
