challenge_id,round_id,round_name,start_date,end_date
1,1,'Qualifying','2024-01-10','2024-01-20'
1,2,'Semi-Final','2024-01-25','2024-02-05'
1,3,'Final','2024-02-10','2024-02-20'
2,1,'Qualifying','2024-02-01','2024-02-10'
2,2,'Final','2024-02-15','2024-02-25'
3,1,'Qualifying','2024-03-01','2024-03-10'
3,2,'Semi-Final','2024-03-15','2024-03-25'
3,3,'Final','2024-03-28','2024-04-07'
4,1,'Qualifying','2024-04-01','2024-04-10'
4,2,'Final','2024-04-15','2024-04-25'
5,1,'Qualifying','2024-05-01','2024-05-10'
5,2,'Final','2024-05-15','2024-05-25'
